NDID,Product_Name,grams_Pro_per_100g,grams_Fat_per_100g,grams_Cho_per_100g,Category_1,Category_2,Category_3,Serving_Size,Store,Package_Amount,Price_per_Package
ND00246,V8 Splash - Strawberry Kiwi ,0,0,7.5,Beverages,Juice,Mixed Juice,8 fl oz,PB,1890,2.69
ND00244,V8 Splash - Tropical Blend (70 calories) ,0,0,7.5,Beverages,Juice,Mixed Juice,8 fl oz,PB,1890,2.69
ND00418,Publix Ultra Pasteurized Regular Whipping Cream,0,30,7.5,Dairy_and_Egg,Cream,Null,1 Tbsp,PB,473,2.89
ND01032,Oscar Mayer Smoked Cured Turkey Bacon Chopped and Formed (50% less fat),13.33333333,16.66666667,7.5,Meats,Bacon_and_Sausage,Turkey_Bacon,1 slice,PB,340,3.79
ND01405,Campbell's Condensed Cream of  Chicken Soup (Healthy Request) (canned),1.666666667,1.666666667,7.5,Sauces_Soups_Condiments_Dressing,Soups,Null,0.5 cup,SW,298,1.34
ND01616,Vigo Imported Artichoke Hearts Quartered (can),2.5,0,7.5,Vegetables,Green,Artichoke,5,PB,240,2.29
ND01750,Publix Sliced Beets (canned),0.833333333,0,7.5,Vegetables,Red,Beet,0.5 cup,PB,425,1.25
ND01837,Compleat Pediatric Reduced Calorie Tube Feeding Formula- Unflavored,3,2,7.52,Formulas,Liquid_Nutrition,Null,1 carton,I,250,3.12
ND01416,Hormel Chili- No Beans (can),8.474576271,4.661016949,7.521186441,Sauces_Soups_Condiments_Dressing,Soups,Null,1 cup,PB,425,2.69
ND00814,"Watermelon, raw ",0.61,0.15,7.55,Fruits,Melons,Null,"154g=1 cup, balls / 152g=1 cup, diced",I,N/A,3.99
ND00817,Horned Melon (Kiwano),1.78,1.26,7.56,Fruits,Melons,Null,"233g=1 cup / 209g=1 fruit,  (4-.66"" long x 2-3/4"" dia)",I,N/A,2.5
ND00346,Land O Lakes Co-Jack Semisoft Cheese Slices,21.73913043,30.43478261,7.608695652,Dairy_and_Egg,Cheese,Colby-Jack,1 slice,PB,227,4.39
ND01110,Ball Park Grillmaster Hearty Beef-Beef Franks,10.97560976,25.6097561,7.62195122,Meats,Luncheon_Meats,Hot_Dog,1 frank,PB,410,5.79
ND01628,Pictsweet Deluxe Baby Broccoli Florets (frozen),1.176470588,0,7.647058824,Vegetables,Green,Broccoli,1 cup,PB,680,3.49
ND00785,"Strawberries, raw",0.67,0.3,7.68,Fruits,Berries,Strawberry,"152g=1 cup,  halves / 232g=1 cup, pureed",I,N/A,1.98
ND01782,Publix Whole Kernel Sweet Corn (no salt added) (canned),1.6,1.2,7.7,Vegetables,Yellow,Corn,0.5 cup,PB,432,0.8
ND01670,Winn Dixie Cut Okra (frozen),1.19047619,0,7.738095238,Vegetables,Green,Okra,3/4 cup,WD,907,3.49
ND01292,"Heinz Tomato Ketchup, Reduced Sugar",0,0,7.8125,Sauces_Soups_Condiments_Dressing,Condiments,Ketchup,1 Tbsp,PB,369,2.69
ND01745,Morningstar Farms Veggie Burgers- Grillers Original (frozen),23.4375,9.375,7.8125,Vegetables,Processed,Soy products,1 burger,PB,256,4.49
ND00724,Gerber Good Start Soy,1.763693315,3.597934362,7.830798318,Formulas,Liquid_Nutrition,Null,5 fl oz,SW,366,17.92
ND01659,"Beans, snap, green, cooked, boiled, drained, without salt",1.89,0.28,7.88,Vegetables,Green,Green_Beans,1 cup = 125g,PB,454,1.69
